2011-09-03 21:03:27 Notice: Notice (8): Trying to get property of non-object in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/controllers/users_controller.php, line 91]
2011-09-03 21:04:40 Notice: Notice (8): Trying to get property of non-object in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/controllers/users_controller.php, line 91]
2011-09-03 21:06:18 Notice: Notice (8): Trying to get property of non-object in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/controllers/users_controller.php, line 91]
2011-09-03 21:07:18 Notice: Notice (8): Trying to get property of non-object in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/controllers/users_controller.php, line 91]
2011-09-03 21:08:56 Notice: Notice (8): Trying to get property of non-object in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/controllers/users_controller.php, line 97]
2011-09-03 21:09:31 Notice: Notice (8): Undefined index: user_id in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/controllers/users_controller.php, line 97]
2011-09-03 21:09:40 Notice: Notice (8): Undefined index: userId in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/controllers/users_controller.php, line 97]
2011-09-03 21:24:53 Notice: Notice (8): Undefined property: View::$Paginator in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/books/user_list_books.ctp, line 5]
2011-09-03 21:40:41 Notice: Notice (8): Use of undefined constant conditions - assumed 'conditions' in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/controllers/books_controller.php, line 19]
2011-09-03 22:23:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 6]
2011-09-03 22:23:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 11]
2011-09-03 22:23:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 16]
2011-09-03 22:23:43 Notice: Notice (8): Undefined index: Group in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 21]
2011-09-03 22:23:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 26]
2011-09-03 22:23:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 31]
2011-09-03 22:23:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 39]
2011-09-03 22:23:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 40]
2011-09-03 22:23:53 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 6]
2011-09-03 22:23:53 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 11]
2011-09-03 22:23:54 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 16]
2011-09-03 22:23:54 Notice: Notice (8): Undefined index: Group in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 21]
2011-09-03 22:23:54 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 26]
2011-09-03 22:23:54 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 31]
2011-09-03 22:23:54 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 39]
2011-09-03 22:23:54 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 40]
2011-09-03 22:23:55 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 6]
2011-09-03 22:23:55 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 11]
2011-09-03 22:23:55 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 16]
2011-09-03 22:23:55 Notice: Notice (8): Undefined index: Group in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 21]
2011-09-03 22:23:55 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 26]
